Year,Make,Model,Subseries,Color,Drs,Cyl,Fuel,Trans,4x4,EW,Radio,Top,Int,Odometer,Price
2006,TOYOTA,AVALON,LIMITED,SILVER,4,6,GAS,,4X2,,,,,"256,019","$2,000"
2005,TOYOTA,AVALON,TOURING,GRAY,4,6,GAS,A,4X2,A,B,SR,E,"250,610","$1,700"
2002,TOYOTA,CAMRY,LE,BLUE,4,4,GAS,A,4X2,,,,,"192,130","$1,300"
2021,TOYOTA,CAMRY FWD 4C,SE,BLUE,4,4,GAS,A,4X2,A,AM/FM,HT,E,"10,040","$25,750"
2007,TOYOTA,CAMRY 4C,,GRAY,4,4,H,A,4X2,A,CD,SR,L,"168,481","$3,100"
2009,TOYOTA,CAMRY 4C,,BLACK,4,4,H,A,4X2,A,CD,SR,L,"238,619",$600
2009,TOYOTA,CAMRY 4C,GS,BLUE,4,4,H,A,4X2,A,CD,SR,E,"161,807","$4,400"
2003,TOYOTA,CAMRY 4C,LE,BLUE,4,4,GAS,A,4X2,,,,,"145,362","$3,300"
2007,TOYOTA,CAMRY 4C,LE,WHITE,4,4,GAS,A,4X2,A,CD,SR,C,"124,975","$3,600"
2008,TOYOTA,CAMRY 4C,LE,BLACK,4,4,GAS,A,4X2,,,,,"189,834","$2,800"
2014,TOYOTA,CAMRY 4C,LE,GRAY,4,4,GAS,A,4X2,A,CD,HT,C,"143,406","$5,700"
2019,TOYOTA,CAMRY 4C,LE,BLACK,4,4,GAS,A,4X2,A,AM/FM,HT,C,"55,474","$21,700"
2012,TOYOTA,CAMRY 4C,SE,RED,4,4,GAS,A,4X2,A,CD,HT,C,"182,078","$4,200"
2013,TOYOTA,CAMRY 4C,SE,RED,4,4,GAS,A,4X2,A,CD,SR,C,"132,357","$7,900"
2014,TOYOTA,CAMRY 4C,SE,WHITE,4,4,GAS,A,4X2,A,CD,HT,B,"166,551","$4,200"
2019,TOYOTA,CAMRY 4C,SE,BLACK,4,4,GAS,A,4X2,A,AM/FM,HT,B,"22,106","$27,200"
2020,TOYOTA,CAMRY 4C,SE,BLACK,4,4,GAS,A,4X2,A,AM/FM,HT,E,"6,260","$24,300"
2019,TOYOTA,CAMRY 4C,XSE,BLUE,4,4,GAS,A,4X2,A,CD,PN,L,"35,047","$29,400"
2019,TOYOTA,CAMRY 4C,XSE,SILVER,4,4,GAS,A,4X2,A,CD,HT,L,"44,405","$25,250"
2004,TOYOTA,COROLLA,,GRAY,4,4,GAS,,4X2,,,,,"118,218","$2,400"
2014,TOYOTA,COROLLA,L,GRAY,4,4,GAS,6,4X2,A,CD,HT,C,"156,524","$5,800"
2014,TOYOTA,COROLLA,LE,SILVER,4,4,GAS,A,4X2,A,CD,HT,C,"147,991","$6,500"
2016,TOYOTA,COROLLA,LE,GREEN,4,4,GAS,A,4X2,A,CD,HT,C,"82,878","$13,100"
2020,TOYOTA,COROLLA,NONE,SILVER,S,4,C,A,,,N,NO,N,"6,304","$26,900"
2007,TOYOTA,FJ CRUISER 4X4,,MAROON,S,6,GAS,A,4X4,,N,NO,N,"154,447","$13,500"
2019,TOYOTA,HIGHLNDR AWD V6,LE,GRAY,S,6,GAS,A,AWD,A,CD,HT,C,"25,793","$33,000"
